shipment_id,order_id,shipment_date,delivery_date,carrier,shipment_status
S000027,O000163,2024-10-24 13:36:20.027920246,2024-10-29 13:36:20.027920246,FEDEX,DELIVERED
S000028,O000654,2024-02-20 06:47:24.592658043,2024-02-23 06:47:24.592658043,UPS,DELIVERED
S000029,O000350,2023-12-14 09:21:20.868731499,2023-12-21 09:21:20.868731499,UPS,DELIVERED
S000030,O000031,2023-08-12 03:13:31.080612659,2023-08-19 03:13:31.080612659,DHL,DELIVERED
S000031,O000458,2024-02-08 11:16:09.285217762,2024-02-10 11:16:09.285217762,UPS,DELIVERED
S000032,O000091,2024-02-22 23:06:36.335415840,2024-02-24 23:06:36.335415840,FEDEX,CANCELLED
S000033,O000128,2024-10-17 19:48:45.730273008,2024-10-21 19:48:45.730273008,UPS,DELIVERED
S000034,O000779,2024-05-28 23:10:06.618220568,,DHL,DELIVERED
S000035,O000970,2024-08-26 07:49:06.547814608,2024-09-02 07:49:06.547814608,UPS,DELIVERED
S000036,O000848,2024-07-15 11:09:29.656055450,2024-07-18 11:09:29.656055450,UPS,IN_TRANSIT
S000037,O000792,2023-07-21 22:50:51.422539949,2023-07-24 22:50:51.422539949,DHL,DELIVERED
S000038,O000509,2023-05-31 05:34:24.023475409,2023-06-06 05:34:24.023475409,UPS,CANCELLED
S000039,O000936,2023-07-08 16:35:36.068100452,2023-07-11 16:35:36.068100452,DHL,DELIVERED
S000040,O000745,2023-04-18 00:04:17.454200983,2023-04-22 00:04:17.454200983,DHL,DELIVERED
S000041,O000740,2023-10-09 18:03:10.438516617,2023-10-18 18:03:10.438516617,FEDEX,DELIVERED
S000042,O000237,2024-04-22 08:20:25.869796038,,FEDEX,IN_TRANSIT
S000043,O001013,2024-01-27 23:50:44.394673824,2024-02-04 23:50:44.394673824,DHL,DELIVERED
S000044,O000977,2024-05-10 19:50:06.141363382,2024-05-12 19:50:06.141363382,FEDEX,DELIVERED
S000045,O001023,2023-09-17 22:50:41.651942015,2023-09-23 22:50:41.651942015,FEDEX,DELIVERED
S000046,O001075,2023-05-30 20:28:00.555448771,2023-06-03 20:28:00.555448771,DHL,DELIVERED
S000047,O000469,2023-05-29 00:19:21.940879583,2023-06-01 00:19:21.940879583,UPS,CANCELLED
S000048,O000388,2024-03-14 15:06:42.545886040,2024-03-22 15:06:42.545886040,UPS,DELIVERED
S000049,O001086,2023-04-30 22:26:39.039107561,2023-05-05 22:26:39.039107561,UPS,DELIVERED
S000050,O001367,2023-10-17 22:22:07.891696692,,FEDEX,DELIVERED
S000051,O001177,2023-06-05 08:49:46.752370596,2023-06-09 08:49:46.752370596,FEDEX,DELIVERED
S000052,O000736,2024-04-28 19:33:42.985624075,,UPS,DELIVERED
S000053,O000654,2024-03-25 06:10:23.143513441,2024-04-01 06:10:23.143513441,DHL,DELIVERED
S000054,O000041,2023-10-06 05:18:33.904592991,2023-10-16 05:18:33.904592991,DHL,DELIVERED
S000055,O000953,2023-04-04 23:07:51.392080307,2023-04-05 23:07:51.392080307,DHL,CANCELLED
S000056,O000809,2023-06-04 15:01:50.120780706,,FEDEX,DELIVERED
S000057,O000382,2023-12-11 17:06:09.756780863,2023-12-15 17:06:09.756780863,UPS,IN_TRANSIT
S000058,O000096,2024-12-10 14:53:02.673912048,2024-12-12 14:53:02.673912048,DHL,CANCELLED
S000059,O000912,2023-07-17 15:58:25.757593155,,UPS,DELIVERED
S000060,O000787,2023-05-20 13:39:18.190768480,2023-05-29 13:39:18.190768480,UPS,DELIVERED
S000061,O000293,2023-06-11 02:22:24.555445910,2023-06-12 02:22:24.555445910,FEDEX,IN_TRANSIT
S000062,O001259,2024-05-31 22:35:51.596385479,2024-06-05 22:35:51.596385479,DHL,IN_TRANSIT
S000063,O000341,2024-10-29 17:15:59.679826260,2024-11-03 17:15:59.679826260,FEDEX,DELIVERED
S000064,O000719,2023-02-24 21:00:24.663834810,2023-02-26 21:00:24.663834810,UPS,DELIVERED
S000065,O000957,2024-06-30 23:32:06.893979788,2024-07-04 23:32:06.893979788,UPS,DELIVERED
S000066,O000538,2023-12-28 01:30:32.499483824,2023-12-29 01:30:32.499483824,UPS,DELIVERED
S000067,O001374,2024-08-25 09:20:13.115784883,2024-09-03 09:20:13.115784883,DHL,IN_TRANSIT
S000068,O000872,2023-11-04 16:46:23.717797279,2023-11-09 16:46:23.717797279,DHL,DELIVERED
S000069,O001231,2023-01-04 19:23:19.425758600,,DHL,IN_TRANSIT
S000070,O000960,2024-05-13 10:35:33.073087454,2024-05-14 10:35:33.073087454,UPS,DELIVERED
S000071,O000381,2024-08-12 19:39:34.126767397,2024-08-17 19:39:34.126767397,UPS,DELIVERED
S000072,O001165,2024-10-20 11:24:34.450427771,,DHL,DELIVERED
S000073,O000859,2024-02-20 09:46:42.905802011,2024-02-22 09:46:42.905802011,UPS,DELIVERED
S000074,O000599,2023-03-31 02:17:23.070407629,2023-04-08 02:17:23.070407629,UPS,IN_TRANSIT
S000075,O000930,2023-09-27 23:30:10.680594206,2023-10-01 23:30:10.680594206,UPS,DELIVERED
S000076,O001047,2024-07-26 12:03:51.460278749,2024-07-27 12:03:51.460278749,DHL,IN_TRANSIT
S000077,O000762,2023-12-27 22:06:54.563044310,2024-01-06 22:06:54.563044310,FEDEX,IN_TRANSIT
S000078,O000364,2024-05-25 10:45:48.358520508,2024-05-29 10:45:48.358520508,FEDEX,DELIVERED
S000079,O001172,2023-01-04 10:09:47.708806276,2023-01-05 10:09:47.708806276,FEDEX,DELIVERED
S000080,O000566,2023-02-23 07:00:03.571919441,2023-03-02 07:00:03.571919441,DHL,CANCELLED
S000081,O000969,2024-05-12 05:59:11.742792368,2024-05-22 05:59:11.742792368,UPS,DELIVERED
S000082,O000827,2023-07-31 20:20:13.034604311,2023-08-01 20:20:13.034604311,FEDEX,CANCELLED
S000083,O000505,2023-10-11 09:01:50.767112017,2023-10-15 09:01:50.767112017,FEDEX,DELIVERED
S000084,O000218,2024-04-13 18:10:07.011440754,2024-04-15 18:10:07.011440754,DHL,DELIVERED
S000085,O000482,2023-03-23 18:29:38.140135765,2023-03-31 18:29:38.140135765,UPS,IN_TRANSIT
S000086,O001440,2024-08-30 21:03:01.384889841,,UPS,IN_TRANSIT
S000087,O000937,2023-04-16 10:29:17.657012463,2023-04-17 10:29:17.657012463,DHL,IN_TRANSIT
S000088,O000749,2024-06-19 07:06:36.618401527,2024-06-28 07:06:36.618401527,FEDEX,DELIVERED
S000089,O001349,2023-08-02 17:00:14.348340750,2023-08-10 17:00:14.348340750,UPS,IN_TRANSIT
S000090,O000836,2023-07-09 18:41:28.775857687,2023-07-12 18:41:28.775857687,UPS,DELIVERED
S000091,O000489,2024-08-22 12:33:27.094373941,2024-08-27 12:33:27.094373941,FEDEX,DELIVERED
S000092,O001432,2024-02-08 02:34:28.539692640,2024-02-16 02:34:28.539692640,DHL,CANCELLED
S000093,O001168,2023-05-31 00:19:16.293936491,,FEDEX,DELIVERED
S000094,O000800,2023-01-02 20:36:37.137478590,2023-01-03 20:36:37.137478590,UPS,DELIVERED
S000095,O000211,2024-12-11 07:34:15.913504362,2024-12-16 07:34:15.913504362,DHL,DELIVERED
S000096,O000666,2023-11-11 21:53:09.720340490,2023-11-16 21:53:09.720340490,FEDEX,DELIVERED
S000097,O000259,2023-10-18 02:50:50.519419670,2023-10-24 02:50:50.519419670,FEDEX,IN_TRANSIT
S000098,O001251,2023-02-06 17:30:41.581933022,2023-02-15 17:30:41.581933022,DHL,DELIVERED
S000099,O000372,2024-10-14 21:56:55.618903875,2024-10-20 21:56:55.618903875,UPS,IN_TRANSIT
S000100,O001415,2023-04-13 15:05:47.158149958,2023-04-18 15:05:47.158149958,DHL,IN_TRANSIT
S000101,O000992,2023-09-02 21:11:02.642653704,2023-09-12 21:11:02.642653704,DHL,DELIVERED
S000102,O000088,2023-11-04 09:44:24.864544392,2023-11-06 09:44:24.864544392,UPS,DELIVERED
S000103,O000400,2024-08-14 09:03:09.787056446,2024-08-16 09:03:09.787056446,FEDEX,DELIVERED
S000104,O000309,2023-09-20 09:51:19.422379017,,DHL,IN_TRANSIT
S000105,O000004,2024-01-23 23:13:25.471276522,2024-01-24 23:13:25.471276522,DHL,DELIVERED
S000106,O001197,2023-11-09 23:22:31.253233194,2023-11-13 23:22:31.253233194,FEDEX,IN_TRANSIT
S000107,O000226,2023-08-16 15:31:08.611217976,2023-08-19 15:31:08.611217976,UPS,DELIVERED
S000108,O000339,2024-11-21 19:13:48.171377420,2024-11-26 19:13:48.171377420,FEDEX,DELIVERED
S000109,O001230,2024-08-04 17:16:54.212449789,2024-08-13 17:16:54.212449789,FEDEX,DELIVERED
S000110,O001126,2023-05-08 06:39:49.891530514,2023-05-16 06:39:49.891530514,DHL,DELIVERED
S000111,O000058,2024-02-09 22:27:17.954025745,2024-02-10 22:27:17.954025745,DHL,IN_TRANSIT
S000112,O001174,2024-08-04 11:43:59.830770731,2024-08-07 11:43:59.830770731,UPS,IN_TRANSIT
S000113,O001276,2024-02-28 05:55:13.153637886,2024-03-05 05:55:13.153637886,DHL,DELIVERED
S000114,O000556,2023-12-27 11:00:47.504767418,2024-01-02 11:00:47.504767418,FEDEX,DELIVERED
S000115,O001452,2023-02-22 14:28:50.315327644,2023-02-24 14:28:50.315327644,FEDEX,DELIVERED
S000116,O000919,2023-03-19 10:17:18.177481890,2023-03-26 10:17:18.177481890,UPS,DELIVERED
S000117,O000524,2023-06-29 00:35:47.964177370,2023-07-05 00:35:47.964177370,DHL,DELIVERED
S000118,O000526,2024-01-10 18:42:36.107041359,2024-01-19 18:42:36.107041359,DHL,DELIVERED
S000119,O001316,2024-12-21 17:26:16.489107370,2024-12-28 17:26:16.489107370,UPS,DELIVERED
S000120,O001069,2024-08-08 15:42:13.266668797,2024-08-15 15:42:13.266668797,UPS,DELIVERED
S000121,O001224,2023-03-22 08:05:36.701284170,2023-03-24 08:05:36.701284170,DHL,IN_TRANSIT
S000122,O000024,2024-06-07 14:23:04.479373455,2024-06-16 14:23:04.479373455,UPS,DELIVERED
S000123,O000763,2024-08-14 15:27:28.304302216,2024-08-18 15:27:28.304302216,FEDEX,DELIVERED
S000124,O001411,2023-10-30 09:53:33.491536856,2023-11-08 09:53:33.491536856,UPS,DELIVERED
S000125,O001459,2023-08-30 00:11:10.901602030,2023-09-08 00:11:10.901602030,FEDEX,IN_TRANSIT
S000126,O000242,2024-03-02 18:27:23.841863155,2024-03-07 18:27:23.841863155,FEDEX,DELIVERED
S000127,O000203,2024-01-14 23:34:13.018970251,2024-01-20 23:34:13.018970251,FEDEX,DELIVERED
S000128,O000237,2023-07-13 14:32:32.544822216,,DHL,CANCELLED
S000129,O000951,2023-10-18 02:03:34.530527115,2023-10-20 02:03:34.530527115,FEDEX,DELIVERED
S000130,O001022,2024-02-02 10:32:43.027412891,2024-02-09 10:32:43.027412891,UPS,DELIVERED
S000131,O000294,2024-02-28 08:16:29.629302025,,FEDEX,DELIVERED
S000132,O001372,2024-01-24 04:15:05.828748941,2024-01-25 04:15:05.828748941,DHL,IN_TRANSIT
S000133,O001111,2024-09-09 15:48:12.939293623,2024-09-18 15:48:12.939293623,DHL,DELIVERED
S000134,O000210,2023-01-24 04:10:23.149464846,2023-02-03 04:10:23.149464846,DHL,DELIVERED
S000135,O000788,2023-09-01 01:52:26.692788601,2023-09-08 01:52:26.692788601,DHL,DELIVERED
S000136,O001026,2024-07-01 09:05:05.692536831,2024-07-04 09:05:05.692536831,UPS,DELIVERED
S000137,O000229,2024-04-20 19:13:52.347045660,2024-04-29 19:13:52.347045660,DHL,DELIVERED
S000138,O000410,2024-11-01 08:01:52.835758448,2024-11-11 08:01:52.835758448,UPS,DELIVERED
S000139,O001267,2024-03-05 06:07:42.324837923,2024-03-15 06:07:42.324837923,DHL,DELIVERED
S000140,O000770,2024-04-10 20:24:13.956291437,2024-04-20 20:24:13.956291437,DHL,DELIVERED
S000141,O000963,2024-05-29 14:40:27.283263206,,UPS,DELIVERED
S000142,O001492,2023-05-16 22:14:04.188090324,2023-05-20 22:14:04.188090324,FEDEX,DELIVERED
S000143,O000458,2024-07-03 20:50:06.309945345,2024-07-08 20:50:06.309945345,UPS,DELIVERED
S000144,O000554,2023-08-07 22:03:59.282058001,2023-08-14 22:03:59.282058001,FEDEX,DELIVERED
S000145,O000213,2023-11-06 21:15:38.429100037,2023-11-08 21:15:38.429100037,UPS,DELIVERED
S000146,O000386,2023-01-11 05:23:38.067188025,,FEDEX,DELIVERED
S000147,O001436,2024-09-07 19:16:30.405300379,2024-09-16 19:16:30.405300379,DHL,IN_TRANSIT
S000148,O000528,2024-11-27 01:11:43.818287611,2024-12-05 01:11:43.818287611,FEDEX,IN_TRANSIT
S000149,O001412,2023-02-13 22:32:43.673127174,2023-02-23 22:32:43.673127174,FEDEX,IN_TRANSIT
S000150,O001303,2024-04-08 16:42:25.738460541,2024-04-14 16:42:25.738460541,DHL,DELIVERED
S000151,O000990,2024-12-02 08:50:32.662643909,2024-12-09 08:50:32.662643909,DHL,DELIVERED
S000152,O000102,2024-03-19 00:54:06.517123460,2024-03-27 00:54:06.517123460,FEDEX,IN_TRANSIT
S000153,O000390,2024-08-05 12:06:04.663926363,2024-08-06 12:06:04.663926363,FEDEX,DELIVERED
S000154,O001226,2023-03-28 05:36:58.717039347,2023-03-31 05:36:58.717039347,UPS,DELIVERED
S000155,O001416,2023-06-28 17:46:04.873979092,2023-07-08 17:46:04.873979092,DHL,CANCELLED
S000156,O000841,2023-09-10 09:16:28.832665920,2023-09-13 09:16:28.832665920,DHL,DELIVERED
S000157,O001378,2024-12-17 06:02:22.927063942,2024-12-22 06:02:22.927063942,DHL,DELIVERED
S000158,O000235,2024-07-24 16:45:00.146850109,2024-07-26 16:45:00.146850109,UPS,DELIVERED
S000159,O000114,2024-10-08 12:48:48.504765987,2024-10-15 12:48:48.504765987,UPS,IN_TRANSIT
S000160,O000982,2023-12-22 13:34:43.942376137,2023-12-31 13:34:43.942376137,FEDEX,CANCELLED
S000161,O001091,2024-06-07 06:25:47.428351402,2024-06-16 06:25:47.428351402,UPS,CANCELLED
S000162,O000809,2024-06-18 01:01:04.076543570,2024-06-26 01:01:04.076543570,UPS,DELIVERED
S000163,O001064,2024-02-20 07:31:55.293623447,,UPS,DELIVERED
S000164,O000103,2024-10-02 22:01:10.273225784,2024-10-04 22:01:10.273225784,DHL,DELIVERED
S000165,O000411,2023-04-26 12:33:41.323622227,2023-05-02 12:33:41.323622227,FEDEX,DELIVERED
S000166,O001319,2023-02-11 23:44:41.879172564,2023-02-18 23:44:41.879172564,UPS,IN_TRANSIT
S000167,O000808,2023-08-10 23:04:11.296117544,2023-08-17 23:04:11.296117544,UPS,DELIVERED
S000168,O001061,2023-03-06 10:31:19.637891054,,UPS,DELIVERED
S000169,O000067,2023-02-14 00:44:21.011004210,2023-02-22 00:44:21.011004210,DHL,DELIVERED
S000170,O000403,2023-11-02 22:27:11.669683933,2023-11-04 22:27:11.669683933,FEDEX,DELIVERED
S000171,O000206,2023-05-27 08:51:34.544859409,2023-05-29 08:51:34.544859409,FEDEX,DELIVERED
S000172,O000341,2024-07-30 19:23:02.938809156,,UPS,DELIVERED
S000173,O001076,2024-02-28 05:49:20.791616917,,FEDEX,DELIVERED
S000174,O000426,2023-09-21 05:35:12.262725115,2023-09-24 05:35:12.262725115,DHL,DELIVERED
S000175,O000956,2023-07-29 04:15:12.112106323,2023-07-31 04:15:12.112106323,UPS,DELIVERED
S000176,O000209,2024-02-16 02:10:49.829490662,2024-02-25 02:10:49.829490662,FEDEX,IN_TRANSIT
S000177,O001202,2023-11-13 19:43:00.372984886,2023-11-16 19:43:00.372984886,UPS,DELIVERED
S000178,O000676,2023-02-10 16:28:49.287928104,2023-02-18 16:28:49.287928104,DHL,DELIVERED
S000179,O001046,2024-04-30 14:08:22.228511095,,UPS,DELIVERED
S000180,O000369,2023-12-31 19:45:10.572883368,2024-01-04 19:45:10.572883368,DHL,DELIVERED
S000181,O000994,2023-07-22 03:16:51.257276297,2023-08-01 03:16:51.257276297,UPS,IN_TRANSIT
S000182,O000082,2023-08-01 00:04:21.410232544,2023-08-10 00:04:21.410232544,UPS,CANCELLED
S000183,O001188,2023-11-27 12:47:09.867346764,2023-11-29 12:47:09.867346764,FEDEX,DELIVERED
S000184,O000377,2024-08-27 03:25:11.766772985,2024-09-06 03:25:11.766772985,FEDEX,DELIVERED
S000185,O000003,2023-11-05 19:50:46.201606750,2023-11-11 19:50:46.201606750,DHL,DELIVERED
S000186,O000684,2024-09-04 21:27:22.209486485,2024-09-07 21:27:22.209486485,DHL,DELIVERED
S000187,O001142,2023-11-07 03:36:12.604365110,2023-11-13 03:36:12.604365110,DHL,CANCELLED
S000188,O000764,2024-08-28 20:04:43.197341919,2024-09-07 20:04:43.197341919,FEDEX,DELIVERED
S000189,O001419,2024-11-11 00:24:17.901035547,2024-11-14 00:24:17.901035547,UPS,DELIVERED
S000190,O000266,2023-01-16 00:27:15.670289278,2023-01-25 00:27:15.670289278,DHL,DELIVERED
S000191,O000435,2023-02-15 10:37:37.999690533,2023-02-25 10:37:37.999690533,UPS,DELIVERED
S000192,O000682,2023-04-08 20:01:05.021276474,2023-04-17 20:01:05.021276474,UPS,DELIVERED
S000193,O000725,2023-03-31 03:33:02.874577761,,FEDEX,IN_TRANSIT
S000194,O000793,2023-11-28 18:27:09.059701204,2023-12-05 18:27:09.059701204,FEDEX,DELIVERED
S000195,O001251,2024-07-11 17:52:36.960480213,2024-07-19 17:52:36.960480213,UPS,CANCELLED
S000196,O000376,2024-12-02 18:28:25.801389217,2024-12-07 18:28:25.801389217,DHL,DELIVERED
S000197,O001286,2023-11-01 23:31:11.498576403,2023-11-05 23:31:11.498576403,FEDEX,IN_TRANSIT
S000198,O000366,2024-05-17 14:11:22.245367765,,UPS,DELIVERED
S000199,O000767,2024-04-08 22:04:51.941968203,2024-04-13 22:04:51.941968203,FEDEX,DELIVERED
S000200,O000428,2023-10-15 00:34:31.896299601,2023-10-19 00:34:31.896299601,UPS,DELIVERED
S000201,O001032,2024-06-10 10:05:02.584271669,2024-06-12 10:05:02.584271669,FEDEX,DELIVERED
S000202,O001065,2024-03-08 02:58:58.729611874,2024-03-17 02:58:58.729611874,DHL,DELIVERED
S000203,O001281,2024-07-08 18:08:25.477190256,,DHL,DELIVERED
S000204,O000643,2023-05-22 08:43:31.031516074,2023-05-24 08:43:31.031516074,FEDEX,DELIVERED
S000205,O000564,2023-09-20 23:57:16.811739922,2023-09-25 23:57:16.811739922,FEDEX,DELIVERED
S000206,O001126,2024-05-04 23:48:28.546142101,2024-05-13 23:48:28.546142101,FEDEX,IN_TRANSIT
S000207,O001243,2023-04-02 02:33:23.987614632,2023-04-05 02:33:23.987614632,DHL,DELIVERED
S000208,O000244,2024-07-16 09:21:55.408209562,2024-07-24 09:21:55.408209562,FEDEX,DELIVERED
S000209,O000845,2023-04-08 09:51:53.317005396,2023-04-15 09:51:53.317005396,DHL,DELIVERED
S000210,O000939,2023-08-25 20:26:12.214029312,2023-08-31 20:26:12.214029312,FEDEX,IN_TRANSIT
S000211,O000303,2023-06-23 09:30:08.484580994,2023-07-01 09:30:08.484580994,FEDEX,IN_TRANSIT
S000212,O000370,2023-02-14 12:28:01.342315912,2023-02-19 12:28:01.342315912,UPS,DELIVERED
S000213,O000851,2023-07-17 13:54:28.016354561,2023-07-23 13:54:28.016354561,DHL,IN_TRANSIT
S000214,O000275,2024-10-27 09:40:34.991943598,2024-11-03 09:40:34.991943598,FEDEX,IN_TRANSIT
S000215,O000070,2023-01-20 15:47:23.620353222,,DHL,DELIVERED
S000216,O000047,2023-01-13 06:50:34.317834854,2023-01-21 06:50:34.317834854,UPS,DELIVERED
S000217,O000117,2024-05-29 02:45:18.631656170,2024-06-05 02:45:18.631656170,DHL,DELIVERED
S000218,O000517,2023-09-25 19:33:39.277420759,2023-10-04 19:33:39.277420759,DHL,DELIVERED
S000219,O001278,2023-06-17 17:03:49.326792955,,DHL,DELIVERED
S000220,O000832,2024-01-07 11:26:24.321381330,2024-01-08 11:26:24.321381330,DHL,DELIVERED
S000221,O000619,2023-07-14 16:09:19.466548204,2023-07-23 16:09:19.466548204,DHL,DELIVERED
S000222,O000756,2023-10-14 04:09:14.409990072,,DHL,DELIVERED
S000223,O001197,2024-06-06 04:41:36.707650900,2024-06-07 04:41:36.707650900,DHL,IN_TRANSIT
S000224,O000960,2023-03-27 08:12:42.371074200,2023-04-05 08:12:42.371074200,FEDEX,DELIVERED
S000225,O001453,2024-12-01 13:10:36.348532438,2024-12-09 13:10:36.348532438,FEDEX,DELIVERED
S000226,O000036,2023-02-01 01:06:09.174217701,2023-02-06 01:06:09.174217701,DHL,CANCELLED
S000227,O000905,2024-08-11 18:32:04.075262070,2024-08-17 18:32:04.075262070,DHL,DELIVERED
S000228,O000407,2024-06-12 22:50:15.784903288,2024-06-13 22:50:15.784903288,FEDEX,DELIVERED
S000229,O001440,2023-07-25 22:12:33.808590412,2023-07-27 22:12:33.808590412,UPS,DELIVERED
S000230,O000412,2023-03-28 09:00:58.893103838,2023-04-06 09:00:58.893103838,FEDEX,IN_TRANSIT
S000231,O000488,2024-09-14 05:36:32.101787567,2024-09-24 05:36:32.101787567,UPS,DELIVERED
S000232,O000779,2024-05-11 02:47:44.501368761,2024-05-21 02:47:44.501368761,DHL,IN_TRANSIT
S000233,O000832,2023-08-01 08:14:20.530797482,2023-08-06 08:14:20.530797482,DHL,CANCELLED
S000234,O001345,2023-01-13 08:35:56.715587378,,FEDEX,DELIVERED
S000235,O001097,2024-11-16 02:21:02.873837471,2024-11-20 02:21:02.873837471,FEDEX,DELIVERED
S000236,O000644,2023-10-23 02:30:55.714962721,2023-10-28 02:30:55.714962721,FEDEX,DELIVERED
S000237,O000413,2023-05-09 16:11:42.573308945,2023-05-11 16:11:42.573308945,DHL,DELIVERED
S000238,O000124,2024-10-27 15:19:50.600697756,2024-11-01 15:19:50.600697756,FEDEX,DELIVERED
S000239,O001409,2023-09-20 02:02:30.080605507,2023-09-21 02:02:30.080605507,FEDEX,IN_TRANSIT
S000240,O001006,2023-12-05 04:10:07.501000404,2023-12-12 04:10:07.501000404,UPS,DELIVERED
S000241,O000653,2024-05-24 23:47:56.336950302,2024-05-30 23:47:56.336950302,DHL,DELIVERED
S000242,O000232,2024-08-21 04:13:04.258713244,2024-08-23 04:13:04.258713244,DHL,DELIVERED
S000243,O000433,2023-03-15 03:06:50.968942165,2023-03-21 03:06:50.968942165,DHL,DELIVERED
S000244,O000491,2024-10-18 00:46:00.475850821,,FEDEX,DELIVERED
S000245,O000086,2024-11-11 18:05:45.101487637,2024-11-13 18:05:45.101487637,DHL,DELIVERED
S000246,O001054,2023-07-09 06:24:20.200159311,2023-07-19 06:24:20.200159311,FEDEX,IN_TRANSIT
S000247,O001224,2023-12-30 02:14:12.148018837,2024-01-06 02:14:12.148018837,UPS,DELIVERED
S000248,O000875,2024-09-18 05:58:33.079446316,2024-09-27 05:58:33.079446316,DHL,CANCELLED
S000249,O000156,2023-12-22 18:20:33.987623692,2023-12-28 18:20:33.987623692,UPS,CANCELLED
S000250,O000757,2023-12-18 20:11:40.168473244,2023-12-19 20:11:40.168473244,UPS,DELIVERED
S000251,O000898,2024-03-27 12:31:34.630173683,2024-04-02 12:31:34.630173683,DHL,DELIVERED
S000252,O000532,2024-07-14 05:32:12.330415010,2024-07-22 05:32:12.330415010,DHL,DELIVERED
S000253,O000152,2024-04-30 21:36:59.756906748,2024-05-08 21:36:59.756906748,FEDEX,DELIVERED
S000254,O001101,2024-04-02 09:26:51.238320827,2024-04-09 09:26:51.238320827,UPS,DELIVERED
S000255,O001352,2023-09-29 07:40:54.399671316,2023-10-05 07:40:54.399671316,UPS,DELIVERED
S000256,O000172,2024-04-04 22:53:28.761454821,,FEDEX,DELIVERED
S000257,O001429,2023-03-17 09:20:26.649217844,2023-03-24 09:20:26.649217844,DHL,DELIVERED
S000258,O001430,2023-10-26 23:27:29.545955181,2023-11-02 23:27:29.545955181,UPS,DELIVERED
S000259,O000762,2023-05-18 11:54:52.108224154,2023-05-19 11:54:52.108224154,FEDEX,DELIVERED
S000260,O001386,2024-01-28 10:11:18.914816856,2024-02-06 10:11:18.914816856,UPS,DELIVERED
S000261,O001152,2023-07-11 07:01:54.082246065,,UPS,DELIVERED
S000262,O001360,2024-01-05 07:58:41.082446098,2024-01-08 07:58:41.082446098,FEDEX,CANCELLED
S000263,O000693,2024-07-21 10:44:04.405052662,2024-07-31 10:44:04.405052662,UPS,DELIVERED
S000264,O001289,2023-11-13 19:33:07.231117487,2023-11-18 19:33:07.231117487,FEDEX,CANCELLED
S000265,O000195,2023-06-09 16:07:34.232786417,2023-06-12 16:07:34.232786417,FEDEX,DELIVERED
S000266,O000100,2023-06-12 18:38:20.172669888,2023-06-19 18:38:20.172669888,UPS,DELIVERED
