order_item_id,order_id,product_id,quantity,unit_price
OI0000059,O000126,P00646,3,500.76
OI0000060,O000596,P00034,3,187.43
OI0000061,O001390,P00705,3,622.79
OI0000062,O001467,P00867,3,877.87
OI0000063,O000263,P00985,1,179.21
OI0000064,O000936,P00832,2,924.1
OI0000065,O000872,P00477,1,599.7
OI0000066,O001246,P00087,1,1018.88
OI0000067,O000002,P00210,1,475.68
OI0000068,O000394,P00462,1,854.91
OI0000069,O000306,P00081,3,921.14
OI0000070,O001170,P00322,3,1037.31
OI0000071,O000530,P00415,2,1136.62
OI0000072,O000528,P00851,1,208.85
OI0000073,O001332,P00992,2,1448.04
OI0000074,O000965,P00190,2,1266.25
OI0000075,O000671,P00950,4,845.67
OI0000076,O001364,P00860,1,1336.09
OI0000077,O000352,P00233,1,576.74
OI0000078,O000810,P00392,4,56.26
OI0000079,O000209,P00938,4,1091.91
OI0000080,O000958,P00169,1,1415.3
OI0000081,O000205,P00443,1,246.97
OI0000082,O000625,P00763,3,967.59
OI0000083,O000721,P00168,2,1221.07
OI0000084,O000636,P00231,3,1358.08
OI0000085,O001039,P00150,1,418.41
OI0000086,O000858,P00664,1,197.46
OI0000087,O001452,P00550,0,375.54
OI0000088,O000476,P00386,2,868.69
OI0000089,O000298,P00381,1,1378.5
OI0000090,O000557,P00809,1,875.89
OI0000091,O001118,P00275,1,1379.83
OI0000092,O000107,P00617,1,1156.21
OI0000093,O001443,P00898,1,899.59
OI0000094,O001302,P00860,1,37.59
OI0000095,O000128,P00864,4,502.95
OI0000096,O000459,P00062,1,90.9
OI0000097,O000038,P00467,1,486.75
OI0000098,O000198,P00528,1,98.19
OI0000099,O000357,P00862,3,255.88
OI0000100,O000007,P00150,1,618.98
OI0000101,O001356,P00142,1,774.75
OI0000102,O000519,P00116,0,329.63
OI0000103,O000194,P00824,2,1100.2
OI0000104,O000316,P00065,2,887.6
OI0000105,O001025,P00429,1,1039.18
OI0000106,O001086,P00310,1,1100.48
OI0000107,O000343,P00706,1,1091.75
OI0000108,O000601,P00854,2,1404.67
OI0000109,O001042,P00430,2,359.64
OI0000110,O000620,P00161,1,408.88
OI0000111,O001395,P00975,2,145.83
OI0000112,O000822,P00306,1,890.92
OI0000113,O000235,P00361,2,595.8
OI0000114,O001093,P00278,2,746.82
OI0000115,O000447,P00296,4,258.88
OI0000116,O000610,P00551,1,975.35
OI0000117,O000008,P00873,1,930.43
OI0000118,O000462,P00169,1,400.85
OI0000119,O001000,P00459,1,700.8
OI0000120,O001335,P00580,0,1341.98
OI0000121,O000134,P00007,1,1161.38
OI0000122,O000385,P00597,1,344.28
OI0000123,O000056,P00711,4,1318.89
OI0000124,O000993,P00132,2,105.63
OI0000125,O001384,P00588,1,623.82
OI0000126,O001138,P00762,1,124.78
OI0000127,O001112,P00347,1,1386.7
OI0000128,O000138,P00955,1,65.85
OI0000129,O001132,P00721,1,231.1
OI0000130,O000535,P00596,1,1372.98
OI0000131,O000144,P00735,4,875.33
OI0000132,O000869,P00253,2,1193.81
OI0000133,O000656,P00410,1,29.53
OI0000134,O000056,P00543,3,631.55
OI0000135,O000620,P00355,0,1476.78
OI0000136,O001030,P00713,1,871.83
OI0000137,O000542,P00965,1,1275.28
OI0000138,O000447,P00564,2,1445.52
OI0000139,O001409,P00368,1,1029.14
OI0000140,O001331,P00584,1,494.81
OI0000141,O000874,P00511,4,466.37
OI0000142,O000639,P00533,1,111.56
OI0000143,O001326,P00528,3,644.52
OI0000144,O001429,P00947,3,1373.51
OI0000145,O000611,P00528,1,719.7
OI0000146,O000837,P00402,3,1366.94
OI0000147,O000780,P00175,2,1226.63
OI0000148,O000837,P00824,4,1476.36
OI0000149,O000510,P00924,1,1421.8
OI0000150,O001097,P00850,4,1061.19
OI0000151,O000812,P00078,1,1307.47
OI0000152,O000564,P00440,3,1123.38
OI0000153,O000265,P00752,1,1056.57
OI0000154,O001251,P00549,1,1074.76
OI0000155,O001217,P00232,1,1082.96
OI0000156,O001398,P00400,1,572.23
OI0000157,O000010,P00213,1,638.23
OI0000158,O000302,P00193,1,444.64
OI0000159,O001383,P00572,1,226.65
OI0000160,O000805,P00701,1,690.37
OI0000161,O001076,P00267,1,1350.42
OI0000162,O000099,P00126,1,978.64
OI0000163,O000593,P00715,3,88.99
OI0000164,O001037,P00834,2,1217.74
OI0000165,O001414,P00382,0,1403.43
OI0000166,O000357,P00544,1,1244.99
OI0000167,O000928,P00502,3,1092.67
OI0000168,O000011,P00403,1,229.43
OI0000169,O000081,P00824,1,526.75
OI0000170,O001285,P00261,1,850.1
OI0000171,O000006,P00387,4,119.91
OI0000172,O001482,P00412,1,163.87
OI0000173,O000373,P00346,2,1401.71
OI0000174,O000481,P00983,1,1055.52
OI0000175,O000222,P00094,3,416.26
OI0000176,O001105,P00328,1,494.4
OI0000177,O000515,P00100,1,579.72
OI0000178,O001084,P00797,1,117.23
OI0000179,O000221,P00461,4,1110.07
OI0000180,O000349,P00315,1,269.37
OI0000181,O000228,P00025,1,1208.65
OI0000182,O000290,P00918,2,1269.58
OI0000183,O000293,P00494,2,959.46
OI0000184,O000810,P00353,1,1155.93
OI0000185,O001217,P00869,1,261.89
OI0000186,O000956,P00117,1,866.03
OI0000187,O001498,P00199,1,1016.81
OI0000188,O001281,P00279,3,994.03
OI0000189,O000388,P00582,0,180.35
OI0000190,O000615,P00847,3,519.85
OI0000191,O001422,P00079,1,490.93
OI0000192,O000366,P00424,1,860.93
OI0000193,O000658,P00354,1,1149.03
OI0000194,O000290,P00526,2,858.03
OI0000195,O001333,P00541,0,1133.47
OI0000196,O001302,P00656,2,152.96
OI0000197,O001488,P00477,3,1317.82
OI0000198,O000189,P00855,1,807.24
OI0000199,O000918,P00010,1,61.06
OI0000200,O001202,P00559,1,966.6
OI0000201,O000924,P00503,3,778.43
OI0000202,O000988,P00260,1,334.45
OI0000203,O000375,P00524,3,1147.82
OI0000204,O000760,P00810,1,1400.68
OI0000205,O001478,P00738,3,487.41
OI0000206,O000217,P00772,2,743.4
OI0000207,O001066,P00596,1,196.62
OI0000208,O000194,P00860,4,1395.05
OI0000209,O001351,P00860,2,481.6
OI0000210,O001397,P00006,1,296.2
OI0000211,O001489,P00910,2,720.25
OI0000212,O000163,P00759,2,69.71
OI0000213,O000276,P00035,1,382.99
OI0000214,O000364,P00175,1,106.15
OI0000215,O000775,P00442,1,195.42
OI0000216,O000480,P00577,4,172.68
OI0000217,O000689,P00147,2,1309.27
OI0000218,O000460,P00569,1,1396.0
OI0000219,O001289,P00193,1,714.41
OI0000220,O000539,P00013,0,947.47
OI0000221,O000974,P00904,1,1045.37
OI0000222,O001410,P00530,1,590.01
OI0000223,O000085,P00246,1,558.46
OI0000224,O001340,P00675,4,1014.98
OI0000225,O000243,P00855,4,568.19
OI0000226,O001493,P00114,1,873.61
OI0000227,O000880,P00794,1,775.21
OI0000228,O001366,P00233,3,789.07
OI0000229,O001201,P00678,1,1244.89
OI0000230,O001154,P00980,3,1057.57
OI0000231,O000657,P00322,3,1441.22
OI0000232,O001107,P00538,2,1187.51
OI0000233,O001384,P00126,1,222.96
OI0000234,O000088,P00313,4,1109.03
OI0000235,O000742,P00511,3,1000.14
OI0000236,O000985,P00484,2,970.84
OI0000237,O000471,P00281,1,723.71
OI0000238,O001378,P00798,3,98.38
OI0000239,O000416,P00978,1,1427.47
OI0000240,O001075,P00903,1,1278.63
OI0000241,O000682,P00283,1,732.78
OI0000242,O001087,P00651,4,242.08
OI0000243,O001113,P00613,3,1237.59
OI0000244,O001214,P00392,2,648.85
OI0000245,O000899,P00523,1,588.22
OI0000246,O000601,P00382,1,999.75
OI0000247,O001372,P00216,3,1139.22
OI0000248,O001200,P00542,2,98.95
OI0000249,O001388,P00606,3,1152.5
OI0000250,O000776,P00116,1,1102.24
OI0000251,O000901,P00509,3,885.87
OI0000252,O000483,P00500,3,510.94
OI0000253,O001143,P00271,1,251.38
OI0000254,O000169,P00440,0,158.47
OI0000255,O000147,P00291,1,6.77
OI0000256,O001461,P00039,4,313.66
OI0000257,O000439,P00024,2,619.95
OI0000258,O000888,P00776,2,369.25
OI0000259,O001213,P00043,1,466.92
OI0000260,O000160,P00170,2,588.73
OI0000261,O000814,P00340,2,465.85
OI0000262,O000402,P00169,1,1088.31
OI0000263,O000586,P00815,4,740.13
OI0000264,O000864,P00538,1,33.89
OI0000265,O001042,P00692,1,343.87
OI0000266,O000140,P00472,1,1065.94
OI0000267,O001139,P00662,1,454.89
OI0000268,O000328,P00645,2,1380.61
OI0000269,O000225,P00143,1,1070.43
OI0000270,O000558,P00676,3,438.44
OI0000271,O000439,P00101,1,777.03
OI0000272,O000386,P00575,1,1002.52
OI0000273,O000521,P00605,2,294.08
OI0000274,O001277,P00719,3,373.05
OI0000275,O000620,P00475,1,763.15
OI0000276,O001122,P00945,4,1387.72
OI0000277,O000787,P00311,2,519.3
OI0000278,O001095,P00584,0,606.18
OI0000279,O000551,P00060,1,289.98
OI0000280,O000447,P00953,1,891.85
OI0000281,O001114,P00029,3,1111.53
OI0000282,O001454,P00531,1,663.76
OI0000283,O001243,P00991,1,1126.62
OI0000284,O000107,P00073,1,457.39
OI0000285,O001500,P00394,1,1061.94
OI0000286,O000916,P00869,2,391.23
OI0000287,O001478,P00394,2,1172.07
OI0000288,O000904,P00758,1,1246.81
OI0000289,O000544,P00481,1,1197.6
OI0000290,O001150,P00473,1,327.13
OI0000291,O001171,P00313,2,1042.9
OI0000292,O000280,P00438,3,810.12
OI0000293,O000024,P00952,0,1479.13
OI0000294,O000952,P00324,1,545.56
OI0000295,O000120,P00965,1,1158.02
OI0000296,O001321,P00087,4,558.27
OI0000297,O000855,P00359,1,598.3
OI0000298,O001016,P00695,1,170.93
OI0000299,O000944,P00197,1,363.29
OI0000300,O001106,P00756,1,250.9
OI0000301,O000448,P00840,2,243.0
OI0000302,O000996,P00977,0,18.48
OI0000303,O001494,P00385,1,1191.7
OI0000304,O001447,P00118,2,704.56
OI0000305,O001048,P00498,1,1207.23
OI0000306,O001085,P00908,2,920.76
OI0000307,O000084,P00931,1,1247.85
OI0000308,O000225,P00884,3,758.13
OI0000309,O000186,P00462,1,145.59
OI0000310,O000375,P00496,4,927.06
OI0000311,O000072,P00594,1,1018.26
OI0000312,O000074,P00970,1,941.62
OI0000313,O001365,P00247,3,1203.0
OI0000314,O000153,P00975,3,1098.59
OI0000315,O000096,P00234,1,651.79
OI0000316,O000445,P00417,4,1229.56
OI0000317,O001134,P00467,1,1039.22
OI0000318,O001482,P00482,2,184.95
OI0000319,O000828,P00365,1,812.11
OI0000320,O001075,P00153,1,1094.19
OI0000321,O000377,P00272,1,832.17
OI0000322,O000765,P00392,2,1423.8
OI0000323,O001097,P00547,1,156.73
OI0000324,O000212,P00725,1,1084.87
OI0000325,O001456,P00723,4,1237.55
OI0000326,O000724,P00430,1,1055.47
OI0000327,O001192,P00651,1,581.45
OI0000328,O000775,P00189,2,581.29
OI0000329,O000331,P00812,1,881.92
OI0000330,O000751,P00907,1,598.66
OI0000331,O001167,P00252,1,1325.36
OI0000332,O001469,P00395,1,169.35
OI0000333,O000824,P00662,4,960.54
OI0000334,O000394,P00853,1,205.5
OI0000335,O000512,P00219,1,812.54
OI0000336,O000686,P00594,1,1074.79
OI0000337,O000621,P00190,1,252.44
OI0000338,O001352,P00234,1,1057.53
OI0000339,O000604,P00688,2,214.27
OI0000340,O001283,P00232,2,932.73
OI0000341,O001461,P00358,3,760.8
OI0000342,O000718,P00478,1,450.62
OI0000343,O000349,P00575,0,171.77
OI0000344,O000515,P00947,4,1105.1
OI0000345,O001473,P00429,0,575.8
OI0000346,O000399,P00237,4,134.36
OI0000347,O000214,P00033,3,1160.32
OI0000348,O000562,P00213,4,353.18
OI0000349,O001313,P00572,1,1106.0
OI0000350,O001283,P00379,1,849.52
OI0000351,O000258,P00002,2,295.82
OI0000352,O001412,P00909,2,119.23
OI0000353,O000694,P00450,1,891.91
OI0000354,O001289,P00569,3,42.69
OI0000355,O001337,P00427,1,102.87
OI0000356,O001064,P00813,1,1054.82
OI0000357,O000998,P00799,3,810.62
OI0000358,O000820,P00650,1,492.81
OI0000359,O000210,P00279,1,811.15
OI0000360,O000272,P00214,1,889.52
OI0000361,O001160,P00751,1,850.1
OI0000362,O000599,P00285,1,965.62
OI0000363,O001084,P00993,1,1410.73
OI0000364,O001039,P00543,1,586.22
OI0000365,O001023,P00718,3,455.22
OI0000366,O000255,P00970,4,62.46
OI0000367,O000737,P00274,1,224.87
OI0000368,O000722,P00011,1,163.84
OI0000369,O000535,P00871,1,506.49
OI0000370,O001259,P00047,2,916.94
OI0000371,O001155,P00515,2,74.27
OI0000372,O001024,P00642,4,1092.86
OI0000373,O000017,P00438,0,599.16
OI0000374,O000882,P00584,3,1445.44
OI0000375,O000954,P00671,1,854.74
OI0000376,O000826,P00904,4,1158.19
OI0000377,O000992,P00427,2,1292.47
OI0000378,O000878,P00432,1,1333.83
OI0000379,O000185,P00130,2,780.1
OI0000380,O001415,P00022,3,598.13
OI0000381,O001447,P00892,1,842.97
OI0000382,O001466,P00389,1,606.1
OI0000383,O001036,P00135,1,364.87
OI0000384,O000080,P00532,1,489.26
OI0000385,O000809,P00220,1,352.99
OI0000386,O000302,P00333,4,407.81
OI0000387,O001240,P00130,2,144.94
OI0000388,O001272,P00032,2,642.56
OI0000389,O001296,P00602,2,356.75
OI0000390,O000133,P00771,3,675.31
OI0000391,O001029,P00425,4,1189.34
OI0000392,O000756,P00298,2,675.23
OI0000393,O000629,P00504,1,1432.14
OI0000394,O001010,P00845,1,226.02
OI0000395,O000773,P00761,1,1276.15
OI0000396,O000141,P00981,1,376.15
OI0000397,O000483,P00685,1,1401.23
OI0000398,O001329,P00357,2,344.59
OI0000399,O000345,P00983,2,1121.71
OI0000400,O001294,P00455,1,97.87
OI0000401,O001132,P00401,4,946.57
OI0000402,O000474,P00988,1,331.92
OI0000403,O001106,P00896,2,1006.91
OI0000404,O001108,P00559,2,955.56
OI0000405,O001314,P00990,2,1385.93
OI0000406,O001095,P00709,1,941.88
OI0000407,O000175,P00920,3,615.33
OI0000408,O000842,P00455,1,294.38
OI0000409,O001487,P00891,2,987.89
OI0000410,O001419,P00034,1,178.97
OI0000411,O000866,P00766,2,1243.63
OI0000412,O001115,P00248,1,374.77
OI0000413,O000469,P00946,3,788.62
OI0000414,O001458,P00042,1,895.94
OI0000415,O001273,P00801,3,546.92
OI0000416,O000644,P00123,3,997.49
OI0000417,O000681,P00027,1,379.07
OI0000418,O000955,P00462,1,56.76
OI0000419,O000849,P00571,2,1439.11
OI0000420,O000241,P00147,1,483.47
OI0000421,O000702,P00496,1,1071.63
OI0000422,O000340,P00627,1,763.76
OI0000423,O000793,P00486,2,1005.15
OI0000424,O000744,P00460,1,170.85
OI0000425,O001495,P00899,1,780.68
OI0000426,O000463,P00711,2,591.37
OI0000427,O000801,P00128,0,680.52
OI0000428,O001299,P00376,1,1449.48
OI0000429,O000015,P00995,4,208.75
OI0000430,O001065,P00665,2,1133.28
OI0000431,O000208,P00881,1,498.86
OI0000432,O001084,P00783,0,439.09
OI0000433,O000365,P00851,2,409.81
OI0000434,O001264,P00956,1,526.43
OI0000435,O000608,P00083,4,538.89
OI0000436,O000160,P00535,2,409.77
OI0000437,O000397,P00523,4,1002.9
OI0000438,O000794,P00699,3,76.34
OI0000439,O000500,P00981,1,501.78
OI0000440,O000209,P00628,2,423.91
OI0000441,O001157,P00674,3,1128.37
OI0000442,O001405,P00103,2,224.02
OI0000443,O000433,P00755,1,1411.33
OI0000444,O000609,P00519,1,259.93
OI0000445,O000389,P00362,1,558.19
OI0000446,O000997,P00684,2,303.55
OI0000447,O000583,P00256,2,433.61
OI0000448,O000432,P00247,4,1142.73
OI0000449,O001298,P00987,2,717.23
OI0000450,O000351,P00192,3,248.05
OI0000451,O000134,P00626,1,74.72
OI0000452,O001090,P00535,1,348.72
OI0000453,O000639,P00870,4,1418.68
OI0000454,O001229,P00314,3,1268.75
OI0000455,O001322,P00276,2,663.06
OI0000456,O000117,P00923,1,725.58
OI0000457,O001291,P00373,2,1349.55
OI0000458,O000149,P00444,3,889.06
OI0000459,O001218,P00648,1,1321.75
OI0000460,O000179,P00869,2,740.3
OI0000461,O000148,P00195,1,304.15
OI0000462,O000465,P00258,1,1090.26
OI0000463,O000976,P00790,3,791.96
OI0000464,O000569,P00582,1,1004.32
OI0000465,O001029,P00871,1,240.06
OI0000466,O000526,P00360,3,973.16
OI0000467,O000280,P00548,2,576.47
OI0000468,O000499,P00108,1,501.34
OI0000469,O000836,P00024,4,1008.86
OI0000470,O000436,P00652,1,890.4
OI0000471,O000816,P00465,4,975.42
OI0000472,O001240,P00022,2,1448.17
OI0000473,O000687,P00502,1,1053.29
OI0000474,O000828,P00851,1,963.14
OI0000475,O000969,P00841,1,922.26
OI0000476,O001161,P00716,1,601.08
OI0000477,O000612,P00892,2,1259.59
OI0000478,O000595,P00736,1,574.5
OI0000479,O001304,P00501,1,1051.86
OI0000480,O000132,P00735,3,443.25
OI0000481,O000393,P00593,1,225.9
OI0000482,O000481,P00407,2,199.0
OI0000483,O000628,P00330,1,953.67
OI0000484,O000419,P00703,2,495.29
OI0000485,O001226,P00286,2,416.2
OI0000486,O000652,P00147,3,890.13
OI0000487,O000658,P00794,1,43.38
OI0000488,O000462,P00986,1,373.11
OI0000489,O001226,P00384,1,514.12
OI0000490,O000152,P00011,1,1064.02
OI0000491,O000222,P00276,1,819.78
OI0000492,O000079,P00886,2,1284.7
OI0000493,O001224,P00568,2,505.09
OI0000494,O000099,P00685,3,448.18
OI0000495,O000912,P00964,1,54.63
OI0000496,O000213,P00303,1,1427.82
OI0000497,O001167,P00204,4,754.73
OI0000498,O000702,P00345,1,756.27
OI0000499,O001413,P00760,2,1385.54
OI0000500,O001398,P00826,4,438.43
OI0000501,O001076,P00266,4,501.5
OI0000502,O000967,P00022,1,986.24
OI0000503,O000135,P00839,2,1178.84
OI0000504,O000411,P00536,1,1050.47
OI0000505,O001494,P00706,2,1184.13
OI0000506,O001136,P00096,4,864.79
OI0000507,O000785,P00981,1,1294.92
OI0000508,O001068,P00445,3,827.41
OI0000509,O001421,P00263,2,347.86
OI0000510,O000261,P00584,1,814.84
OI0000511,O000743,P00755,3,1070.85
OI0000512,O000545,P00383,1,982.1
OI0000513,O000388,P00550,1,368.31
OI0000514,O001500,P00917,4,66.41
OI0000515,O001434,P00392,1,382.46
OI0000516,O000016,P00889,1,1476.14
OI0000517,O000662,P00601,3,280.78
OI0000518,O000102,P00540,4,699.24
OI0000519,O001210,P00092,3,959.33
OI0000520,O000951,P00566,1,1319.81
OI0000521,O000931,P00159,1,1141.59
OI0000522,O000025,P00884,1,1363.88
OI0000523,O001096,P00228,1,908.55
OI0000524,O000018,P00473,4,1298.65
OI0000525,O000570,P00372,2,399.45
OI0000526,O001017,P00376,0,648.69
OI0000527,O001356,P00553,1,1266.44
OI0000528,O001121,P00037,4,491.72
OI0000529,O000831,P00637,3,1307.48
OI0000530,O001036,P00934,1,547.86
OI0000531,O001035,P00691,2,548.28
OI0000532,O000163,P00844,1,467.0
OI0000533,O001307,P00037,3,822.68
OI0000534,O000872,P00101,2,197.96
OI0000535,O000835,P00543,2,59.72
OI0000536,O001265,P00190,1,1346.63
OI0000537,O000857,P00512,1,1393.76
OI0000538,O001069,P00658,1,118.88
OI0000539,O000970,P00090,4,826.8
OI0000540,O000593,P00006,4,811.82
OI0000541,O000255,P00905,3,561.78
OI0000542,O000067,P00139,4,855.51
OI0000543,O000918,P00095,2,689.89
OI0000544,O000614,P00631,1,737.0
OI0000545,O000974,P00878,3,1134.23
OI0000546,O000603,P00632,1,791.31
OI0000547,O001066,P00386,1,488.87
OI0000548,O000384,P00123,1,874.28
OI0000549,O001258,P00285,1,962.93
OI0000550,O000966,P00366,2,995.16
OI0000551,O000485,P00889,1,929.37
OI0000552,O000039,P00691,1,998.58
OI0000553,O000011,P00490,2,468.59
OI0000554,O000624,P00325,3,671.97
OI0000555,O000409,P00407,2,1004.72
OI0000556,O000108,P00996,1,1132.78
OI0000557,O001118,P00519,1,654.05
OI0000558,O000084,P00896,3,551.17
OI0000559,O000058,P00824,2,1075.24
OI0000560,O001317,P00639,1,337.15
OI0000561,O001040,P00077,4,19.19
OI0000562,O000991,P00234,1,709.39
OI0000563,O000838,P00830,1,264.19
OI0000564,O000605,P00586,1,570.53
OI0000565,O000969,P00484,1,440.4
OI0000566,O000165,P00464,4,1167.01
OI0000567,O000437,P00271,1,500.46
OI0000568,O000727,P00821,1,962.81
OI0000569,O000403,P00939,1,1012.5
OI0000570,O001410,P00467,1,687.4
OI0000571,O001162,P00469,0,126.21
OI0000572,O000716,P00632,1,1052.05
OI0000573,O000814,P00547,1,117.38
OI0000574,O000722,P00719,2,153.32
OI0000575,O000531,P00270,3,298.02
OI0000576,O000293,P00605,2,424.16
OI0000577,O001499,P00965,2,1270.45
OI0000578,O001023,P00378,1,1014.01
OI0000579,O000462,P00177,3,583.88
OI0000580,O001397,P00274,1,1468.05
OI0000581,O001186,P00691,1,369.19
OI0000582,O000642,P00641,2,916.67
OI0000583,O000044,P00637,2,1271.59
OI0000584,O001107,P00027,1,1204.02
OI0000585,O000892,P00576,0,140.01
OI0000586,O000636,P00060,1,1047.42
OI0000587,O000539,P00731,3,390.51
OI0000588,O000862,P00217,1,536.82
OI0000589,O000519,P00681,2,736.04
OI0000590,O001435,P00661,1,1187.17
OI0000591,O001365,P00270,1,253.47
OI0000592,O000711,P00116,1,167.29
OI0000593,O000089,P00245,0,234.39
OI0000594,O001254,P00660,1,331.24
OI0000595,O001042,P00604,2,93.96
OI0000596,O000673,P00085,1,1389.9
OI0000597,O000864,P00599,3,482.03
OI0000598,O000890,P00907,1,269.58
OI0000599,O001305,P00632,3,958.56
OI0000600,O000422,P00450,4,1181.56
OI0000601,O000876,P00852,0,1131.09
OI0000602,O000702,P00536,4,1079.47
OI0000603,O000338,P00887,1,80.54
OI0000604,O000266,P00089,2,1174.33
OI0000605,O000803,P00549,1,755.31
OI0000606,O001379,P00854,1,975.38
OI0000607,O000360,P00895,1,1434.85
OI0000608,O001014,P00507,1,1216.96
OI0000609,O000217,P00408,2,1238.93
OI0000610,O000321,P00271,2,276.29
OI0000611,O000850,P00524,1,717.24
OI0000612,O000719,P00494,4,1424.24
OI0000613,O000992,P00607,4,876.11
OI0000614,O001236,P00448,4,158.37
OI0000615,O000953,P00543,3,1099.07
OI0000616,O001227,P00949,1,69.18
OI0000617,O000717,P00350,1,1114.73
OI0000618,O000985,P00745,1,1320.26
OI0000619,O000896,P00852,4,640.75
OI0000620,O001177,P00328,1,623.35
OI0000621,O001453,P00812,1,459.8
OI0000622,O000287,P00286,1,1316.02
OI0000623,O000757,P00035,1,823.94
OI0000624,O001345,P00533,1,870.99
OI0000625,O001460,P00623,2,994.25
OI0000626,O000496,P00488,1,453.85
OI0000627,O001173,P00831,2,652.02
OI0000628,O000542,P00860,3,1113.7
OI0000629,O000635,P00487,3,1478.3
OI0000630,O001350,P00145,1,56.29
OI0000631,O000939,P00524,4,68.76
OI0000632,O001053,P00756,3,644.98
OI0000633,O001283,P00146,0,991.13
OI0000634,O000698,P00751,2,582.62
OI0000635,O000075,P00503,2,1499.46
OI0000636,O000498,P00604,1,297.06
OI0000637,O001440,P00828,0,16.85
OI0000638,O000722,P00835,2,289.24
OI0000639,O001364,P00627,3,1330.83
OI0000640,O000308,P00527,1,222.0
OI0000641,O000704,P00272,2,721.07
OI0000642,O000884,P00534,1,631.82
OI0000643,O001265,P00630,2,1000.26
OI0000644,O000253,P00881,1,86.62
OI0000645,O000936,P00095,1,989.83
OI0000646,O001244,P00447,3,535.35
OI0000647,O000397,P00415,3,1389.43
OI0000648,O000986,P00257,1,1274.09
OI0000649,O001360,P00843,1,602.26
OI0000650,O001053,P00262,2,1489.37
OI0000651,O000494,P00087,3,82.66
OI0000652,O000959,P00905,2,1184.01
OI0000653,O001178,P00436,1,653.59
OI0000654,O000992,P00976,4,652.79
OI0000655,O001255,P00830,3,259.35
OI0000656,O000102,P00570,1,774.75
OI0000657,O000827,P00742,2,131.65
OI0000658,O000177,P00108,1,926.78
OI0000659,O000984,P00019,3,366.18
OI0000660,O000927,P00365,0,1088.66
OI0000661,O000232,P00653,1,913.01
OI0000662,O000012,P00379,1,1120.88
OI0000663,O001210,P00160,1,1125.86
OI0000664,O000761,P00100,1,299.08
OI0000665,O000932,P00265,2,6.01
OI0000666,O000266,P00750,1,551.81
OI0000667,O001159,P00750,2,1379.01
OI0000668,O000757,P00049,2,868.96
OI0000669,O001055,P00677,2,1092.62
OI0000670,O000456,P00799,1,1319.96
OI0000671,O000259,P00415,1,1359.56
OI0000672,O001128,P00059,1,795.89
OI0000673,O000431,P00183,3,813.71
OI0000674,O001406,P00659,1,1277.15
OI0000675,O000469,P00447,2,1212.19
OI0000676,O001231,P00898,2,1049.79
OI0000677,O000647,P00301,0,908.67
OI0000678,O000447,P00608,3,927.74
OI0000679,O000783,P00555,1,547.55
OI0000680,O001113,P00354,4,1262.17
OI0000681,O000195,P00769,1,928.58
OI0000682,O001438,P00213,1,339.17
OI0000683,O001146,P00189,1,363.57
OI0000684,O000462,P00643,3,1293.1
OI0000685,O001140,P00347,4,940.43
OI0000686,O000196,P00812,1,601.06
